"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1992,1,1,7131.14419578096,1.01169576248206,2884.27017281532
1993,1,1,15306.3530709006,0.780290364725534,5239.52855774497
1994,1,1,9979.94461691488,0.921611385737885,3577.50743086613
1995,1,1,4999.53137908058,0.779301347814601,1899.20926837211
1996,1,1,12379.344730528,0.953577029638883,5328.29018332308
1997,1,1,11776.9822706762,0.73551214450253,4104.45116225461
1998,1,1,7578.79425360017,0.69861380197036,2460.37949368765
1999,1,1,8653.92376997301,0.997342232480257,3596.41930217703
2000,1,1,12272.9299537241,0.915353721006187,4969.88333492096
2001,1,1,12612.75953559,0.664974716750262,4390.15549370304
2002,1,1,10944.2864438009,1.08195726391308,4756.25050726254
2003,1,1,12795.3818000556,0.89364390298968,4636.23520003293
2004,1,1,4443.79697453093,1.02589527437462,1767.44882156908
2005,1,1,4028.39744210706,0.606939969262685,1357.82423437725
2006,1,1,4455.80186810465,0.774666039193999,1641.0118701998
2007,1,1,1082.8091988778,0.532493775521582,352.602836187224
2008,1,1,3248.90390250846,0.41116730804128,851.041944777733
2009,1,1,7028.64313323752,0.405411227187285,1881.18850279227
2010,1,1,5536.11936713519,0.281585958560053,1178.23409800172
2011,1,1,4236.64286093623,0.575282753557099,1499.73596060535
2012,1,1,2594.46805131491,0.382722440528643,695.588215288923
2013,1,1,8681.40672488116,0.610427088051915,2813.3663154245
2014,1,1,8836.24354367431,0.600653031699295,2925.52172359154
2015,1,1,7022.00231221586,0.57879826456967,2264.14285349038
2016,1,1,5803.03060809465,0.579659763543381,1889.90874327946
2017,1,1,4053.94307636172,0.641991494904107,1352.02640604836
