"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1992,1,1,8038.10141241084,1.01412705511919,3060.56977021274
1993,1,1,16146.827671714,0.782265658176925,5273.41736271139
1994,1,1,9751.45190911914,0.907060740826736,3384.75057010468
1995,1,1,5077.71549433057,0.719239735242521,1746.17956535365
1996,1,1,13241.197560949,0.948801551541915,5493.22122401796
1997,1,1,12560.0033753227,0.723871244021725,4250.22013832432
1998,1,1,7430.11979831415,0.687161514864985,2342.50434653931
1999,1,1,8864.99630457676,0.998991597621891,3487.70413977614
2000,1,1,12978.322081897,0.913622497527828,4861.42131926179
2001,1,1,13060.4127888533,0.653028321974239,4119.71968566473
2002,1,1,10289.5089313951,1.08508736794495,4149.80355093145
2003,1,1,12480.832705551,0.907660435259017,4060.27216058794
2004,1,1,3876.02321897228,0.975555143859388,1378.75620650447
2005,1,1,3688.89798008263,0.551067175890208,1119.52666364139
2006,1,1,4710.90002351777,0.750243317211421,1608.05327154717
2007,1,1,1081.13215870877,0.531614151200416,321.735998026749
2008,1,1,5433.57740336963,0.655473311805953,1906.22164488513
2009,1,1,8685.0751060341,0.449373150520021,2613.36409985014
2010,1,1,6086.56934952271,0.259447547305579,1178.62196245815
2011,1,1,4306.17003316897,0.53421258740956,1384.72698018647
2012,1,1,2403.80705802214,0.324478820138832,548.101653405274
2013,1,1,7756.82977241549,0.595001420857053,2333.83136529334
2014,1,1,8365.53859302644,0.589841931582855,2527.10628748358
2015,1,1,9031.24262976199,0.583681510874871,2787.36847177767
2016,1,1,6335.36012132497,0.518347371469529,1801.82837542538
2017,1,1,4029.80071091971,0.588775396171466,1187.61118524922
