"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1992,1,1,7247315.52693141,8.13804730620913,19473950.7850997
1993,1,1,178285.709371901,5.74955784860419,278254.796003041
1994,1,1,15586.6416973661,1.92087075753278,11319.1770286229
1995,1,1,56362.0390531391,5.57020829346365,151569.170208739
1996,1,1,58188.9044043598,4.19119852095204,81140.8658411823
1997,1,1,73173.8509394792,4.39224035142609,105722.44675099
1998,1,1,20151.5760826289,2.98918718278008,22642.5737798029
1999,1,1,16497.513068214,2.20973789729005,12604.0156418837
2000,1,1,32301.4164358528,2.88956204687199,31609.6515842359
2001,1,1,13173.9371561231,0.67912230143938,4622.95272534847
2002,1,1,38641.2121985813,4.0523603266709,49580.3478083566
2003,1,1,20221.2554919043,2.42587704225923,22639.6095338699
2004,1,1,9622.94428440712,3.84838880367145,17534.897854398
2005,1,1,56455.2022459212,6.03745138471311,230830.774408555
2006,1,1,6709.76730453128,2.10338504581159,7565.42540862824
2007,1,1,9780.63641315614,5.50845353737478,30253.074151774
2008,1,1,51055.1350572524,5.46658339246281,192945.598159286
2009,1,1,38553.5533702506,4.50705480980549,116920.164587053
2010,1,1,28295.3109001075,4.02603836708855,78393.9202952516
2011,1,1,160562.893022179,7.00827549669981,804454.935695213
2012,1,1,4320.09409723382,2.37954518313576,7307.47767184935
2013,1,1,10781.2523850955,1.08126363389117,6540.14827005428
2014,1,1,55376.3271103747,5.54861004039042,181666.757439481
2015,1,1,156827.156220426,6.44269345265022,386986.132147195
2016,1,1,60183.2383760231,5.12958021708601,187011.60309941
2017,1,1,42776.6473398345,5.40209011249531,140150.589780598
