"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,929.870188701178,1.14876482586686,667.027132387812
1991,1,1,329.005650514726,1.25081730352979,246.47516621341
1992,1,1,490.954873135944,2.15386098828441,615.258055472829
1993,1,1,4295.16469805469,1.00969940373187,2665.59494736278
1994,1,1,1355.2245163435,1.20413934510601,989.345217921513
1995,1,1,263.803978880932,0.684138095535125,135.193188355168
1996,1,1,3828.08291966701,1.43723701091131,3762.73531539235
1997,1,1,1802.78370007895,0.780267880037255,964.573461012876
1998,1,1,1349.44125251187,0.619576721873773,559.486129661699
1999,1,1,954.122901952428,1.9504044179089,1159.99954134523
2000,1,1,2935.24313033065,1.25961361358024,2411.65976560014
2001,1,1,2160.79672457388,0.593904538943223,932.474471579035
2002,1,1,1695.46266287384,1.90062149602623,2009.35724062879
2003,1,1,535.727253899976,0.73459156008783,264.484367139131
2004,1,1,58.6385938858064,1.08639794183193,40.9430513257797
2005,1,1,428.895677063692,0.512660816789031,156.438823359671
2006,1,1,482.950724590385,0.615005064382219,207.778558074304
2007,1,1,37.2878698268067,0.381647794957676,11.5967495369741
2008,1,1,525.611263120486,0.268828566038601,125.110373912088
2009,1,1,844.22903964454,0.366191182441018,276.369604196431
2010,1,1,659.451149010785,0.264669762544553,160.808208716728
2011,1,1,242.950087912896,0.263750031331809,56.3120201291682
2012,1,1,213.092175914038,0.185406837183611,34.7995275288935
2013,1,1,540.43513420227,0.459274130329553,190.51522917216
2014,1,1,573.171656756338,0.397555200311442,179.711057354627
2015,1,1,1096.17776523205,0.485424814550752,414.391520031133
2016,1,1,675.675598856352,0.41733036315988,231.792925327991
2017,1,1,382.823569007542,0.421762563468753,126.535683147006
2018,1,1,596.704237416663,0.750970297807702,319.821183194817
