"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1990,1,1,773.013401313394,0.925697555116114,281.653011139266
1991,1,1,660.088207239291,1.05637281613546,249.208714512249
1992,1,1,1006.68075729167,1.13802643132894,404.776966121992
1993,1,1,1786.93425318027,0.873655262464667,661.860858754356
1994,1,1,1024.77137265306,0.942587061716546,392.224058751116
1995,1,1,425.195897756079,0.632555906801969,147.607999248306
1996,1,1,1203.75478231092,0.905999617424866,487.38605649402
1997,1,1,1426.21852091382,0.687639479931611,493.200095863948
1998,1,1,934.725563404476,0.603538968629904,280.210148319659
1999,1,1,1069.63534029128,0.994170852067742,434.0627378383
2000,1,1,1559.55923985523,0.922564093059831,605.364540667037
2001,1,1,1554.48728630833,0.597750379138982,479.51092674413
2002,1,1,1167.46775181359,1.02432790523647,492.187739856992
2003,1,1,1025.4844902749,0.753586792874474,376.876020431528
2004,1,1,242.722786383794,0.828178027826625,85.8871740067914
2005,1,1,241.579576164577,0.300499563545323,50.746621183823
2006,1,1,312.371365118421,0.457504742708452,87.1851542822863
2007,1,1,62.0736593156232,0.380434871615588,16.5345424382572
2008,1,1,515.452975072414,0.286155326507535,124.460971971286
2009,1,1,1181.99289092508,0.388892786928002,382.728138345885
2010,1,1,1190.23489111604,0.285065532912329,288.815826304762
2011,1,1,309.4238230811,0.284191357997241,65.4784906564067
2012,1,1,190.766783697903,0.166679843307116,25.4889623701823
2013,1,1,634.241651214824,0.386227032453079,163.138293602856
2014,1,1,682.233144794559,0.361354076099549,164.621359596259
2015,1,1,796.88232502819,0.540596972727851,263.983409291581
2016,1,1,678.381093259036,0.391491197174595,190.382066567301
2017,1,1,477.859243776422,0.403310671740445,128.519355383438
2018,1,1,963.273376766467,0.741652584753346,397.837152830984
